feature,importance
liquidity_buffer_months,0.5076062891987702
on_time_payment_rate_12m,0.3836255245628624
avg_customer_lifetime_value_est,0.004718401081398768
sku_margin_median,0.00404405911982473
owner_tenure_years,0.003919355136559051
customer_churn_rate_90,0.003859982529312721
top3_skus_rev_share_90,0.00344037759155149
chargeback_rate_90,0.003378974541507491
revenue_to_cash_ratio_90,0.003065919316700229
avg_supplier_lead_time_days_90,0.0030366606895950317
current_ratio,0.002916400338952885
fulfillment_cost_per_order_90,0.002871167959767273
industry_growth_rate_qoq,0.0028045876724556514
avg_payment_delay_days_12m,0.0027772904635888435
regional_unemployment_rate,0.002773616252977168
fulfillment_time_median_30,0.002718818089916302
supplier_concentration_top3_pct,0.002715100500951163
cac_90,0.002591343507433352
local_consumer_sentiment_index,0.00253658461108143
avg_order_value_90,0.0025187722431485923
avg_order_frequency_per_customer_90,0.0025045093358300337
sku_return_rate_top3_90,0.0024682473334321576
revenue_365,0.002430365676105869
revenue_trend_slope_90,0.002425616629460502
business_age_months,0.002387657866923852
avg_rating_score_90,0.002340964798493991
procurement_payment_terms_median_days,0.0023244542822205543
quick_ratio,0.0023139634933173805
refund_rate_90,0.002285514386662136
paid_vs_organic_share_90,0.0022278857236397165
fulfillment_on_time_rate_30,0.0022125533904838266
revenue_growth_rate_90,0.0021001041435182743
marketing_return_on_ad_spend_90,0.0020814700439976725
repeat_purchase_rate_90,0.0020301615107765104
debt_to_equity,0.002007916874424495
sku_seasonality_strength_top3,0.002000656344886489
dscr,0.0019454914913162777
revenue_volatility_90,0.0018523242442148584
order_defect_rate_30,0.001765677696918921
channel_diversification_index,0.0017363260132734753
revenue_90,0.0017219307577267444
cash_collected_90,0.0016917844178981813
num_orders_90,0.0014128793185102459
inventory_stockout_days_90,0.0009063188980089937
partial_payment_frequency_90,0.0006378614880544689
num_negative_cash_months_12m,0.00041763510544146
management_turnover_12m,0.00031680111156406405
revenue_30,0.00026296084155908464
feature_drift_flag_recent,0.00018320213087831961
aml_alert_count_12m,0.00016077251180204524
industry_code_e-commerce,0.00011192857787118037
related_party_transactions_flag,0.00010810770347881578
legal_entity_type_sole_prop,0.00010579449109374591
exchange_rate_exposure_flag,0.00010380495464132031
segment_Micro,9.503828775699485e-05
supplier_default_flag_12m,8.295649107671842e-05
legal_entity_type_llc,6.74598206837529e-05
registered_office_changes_12m,6.344617617114789e-05
legal_entity_type_joint-stock,6.141829339421165e-05
industry_code_retail,4.879737987587529e-05
segment_Small,4.334683366932302e-05
owner_prior_business_failures_flag,1.864948556656923e-05
segment_Medium,1.6018235022908597e-05
tax_filing_up_to_date_flag,8.311257890716247e-16
industry_code_other,5.224455912776915e-16
segment_Large,4.822807319499827e-16
sanctions_or_politically_exposed_flag,0.0
suspicious_account_flag,0.0
